"country","cid","iso"
"Austria",1,"AUT"
"Bulgaria",2,"BGR"
"Belgium",3,"BEL"
"Cyprus",4,"CYP"
"Czechia",5,"CZE"
"Switzerland",6,"CHE"
"Germany",7,"DEU"
"Denmark",8,"DNK"
"Estonia",9,"EST"
"Spain",10,"ESP"
"France",11,"FRA"
"Finland",12,"FIN"
"Greece",13,"GRC"
"Croatia",14,"HRV"
"Hungary",15,"HUN"
"Italy",16,"ITA"
"Lithuania",17,"LTU"
"Luxembourg",18,"LUX"
"Latvia",19,"LVA"
"Malta",20,"MLT"
"Netherlands",21,"NLD"
"Poland",22,"POL"
"Portugal",23,"PRT"
"Romania",24,"ROU"
"Sweden",25,"SWE"
"Slovenia",26,"SVN"
"Slovakia",27,"SVK"
